,Tytuł,Model telefonu,Wbudowana pamięć,Stan,Cena,Typ,Kolor,Data opublikowania ogłoszenia,URL
0,iPhone 14 Pro 128 GB NEW! 4999PLN,iPhone 14 Pro,128GB,Nowe,4 999 zł,Firmowe,,06 sierpnia 2023,https://www.olx.pl/d/oferta/iphone-14-pro-128-gb-new-4999pln-CID99-IDSXTXk.html
1,iPhone 13 Pro 256gb Bateria 100% Sklep Warszawa Gwarancja 12 miesięcy,iPhone 13 Pro,256GB,Używane,4 249 zł,Firmowe,,24 lipca 2023,https://www.olx.pl/d/oferta/iphone-13-pro-256gb-bateria-100-sklep-warszawa-gwarancja-12-miesiecy-CID99-IDUc8g5.html
2,"iPhone 14 Pro Gold, gwarancja",iPhone 14 Pro,128GB,Nowe,4 999 zł,Firmowe,Złoty,08 sierpnia 2023,https://www.olx.pl/d/oferta/iphone-14-pro-gold-gwarancja-CID99-IDWNgY7.html
3,iPhone 13 Pro Gold 128Gb,iPhone 13 Pro,128GB,Używane,3 400 zł,Prywatne,Złoty,Dzisiaj o 08:20,https://www.olx.pl/d/oferta/iphone-13-pro-gold-128gb-CID99-IDWO3WZ.html
4,iPhone 13 Pro 128GB Biały w idealnym stanie!,iPhone 13 Pro,128GB,Używane,3 899 zł,Firmowe,Biały,Dzisiaj o 08:18,https://www.olx.pl/d/oferta/iphone-13-pro-128gb-bialy-w-idealnym-stanie-CID99-IDT91MQ.html
5,Iphone 14 PRO czarny nowy w pudełku,iPhone 14 Pro,256GB,Nowe,5 550 zł,Prywatne,Czarny,Dzisiaj o 08:05,https://www.olx.pl/d/oferta/iphone-14-pro-czarny-nowy-w-pudelku-CID99-IDWO2NZ.html
6,iPhone 14 Pro 256GB Space Black,iPhone 14 Pro,256GB,Nowe,5 500 zł,Prywatne,,Dzisiaj o 07:53,https://www.olx.pl/d/oferta/iphone-14-pro-256gb-space-black-CID99-IDWLDqU.html
7,DOSTEPNE iPhone 14 PRO 256GB 5250zł Gold Złote Tarasy,iPhone 14 Pro,256GB,Nowe,5 250 zł,Firmowe,Złoty,Dzisiaj o 07:40,https://www.olx.pl/d/oferta/dostepne-iphone-14-pro-256gb-5250zl-gold-zlote-tarasy-CID99-IDSmfpB.html
8,iphone 14 pro czarny 100%,iPhone 14 Pro,128GB,Używane,4 100 zł,Prywatne,Czarny,Dzisiaj o 07:36,https://www.olx.pl/d/oferta/iphone-14-pro-czarny-100-CID99-IDWO0JC.html
9,Dostępny iPhone 14 Pro 256GB Purple 5250zł Złote Tarasy,iPhone 14 Pro,256GB,Nowe,5 250 zł,Firmowe,Fioletowy,Dzisiaj o 07:34,https://www.olx.pl/d/oferta/dostepny-iphone-14-pro-256gb-purple-5250zl-zlote-tarasy-CID99-IDSmeto.html
10,iPhone 13 PRO |jak NOWY | GWARANCJA | TeleCase Lubartów,iPhone 13 Pro,128GB,Używane,3 799 zł,Firmowe,Złoty,Dzisiaj o 07:18,https://www.olx.pl/d/oferta/iphone-13-pro-jak-nowy-gwarancja-telecase-lubartow-CID99-IDWdwlz.html
