Tytuł,Model telefonu,Wbudowana pamięć (GB),Stan,Cena (zł),Typ,Kolor,Data ekstraktu,Data opublikowania,URL
iPhone 14 Pro 128 GB NEW! 4999PLN,iPhone 14 Pro,128.0,Nowe,4999,Firmowe,,2023-08-09 10:29,2023-08-06 00:00,https://www.olx.pl/d/oferta/iphone-14-pro-128-gb-new-4999pln-CID99-IDSXTXk.html
iPhone 13 Pro 256gb Bateria 100% Sklep Warszawa Gwarancja 12 miesięcy,iPhone 13 Pro,256.0,Używane,4249,Firmowe,,2023-08-09 10:29,2023-07-24 00:00,https://www.olx.pl/d/oferta/iphone-13-pro-256gb-bateria-100-sklep-warszawa-gwarancja-12-miesiecy-CID99-IDUc8g5.html
"iPhone 14 Pro Gold, gwarancja",iPhone 14 Pro,128.0,Nowe,4999,Firmowe,Złoty,2023-08-09 10:29,2023-08-08 00:00,https://www.olx.pl/d/oferta/iphone-14-pro-gold-gwarancja-CID99-IDWNgY7.html
iPhone 13 Pro Gold 128Gb,iPhone 13 Pro,128.0,Używane,3400,Prywatne,Złoty,2023-08-09 10:29,2023-08-09 08:20,https://www.olx.pl/d/oferta/iphone-13-pro-gold-128gb-CID99-IDWO3WZ.html
iPhone 13 Pro 128GB Biały w idealnym stanie!,iPhone 13 Pro,128.0,Używane,3899,Firmowe,Biały,2023-08-09 10:29,2023-08-09 08:18,https://www.olx.pl/d/oferta/iphone-13-pro-128gb-bialy-w-idealnym-stanie-CID99-IDT91MQ.html
Iphone 14 PRO czarny nowy w pudełku,iPhone 14 Pro,256.0,Nowe,5550,Prywatne,Czarny,2023-08-09 10:29,2023-08-09 08:05,https://www.olx.pl/d/oferta/iphone-14-pro-czarny-nowy-w-pudelku-CID99-IDWO2NZ.html
iPhone 14 Pro 256GB Space Black,iPhone 14 Pro,256.0,Nowe,5500,Prywatne,,2023-08-09 10:29,2023-08-09 07:53,https://www.olx.pl/d/oferta/iphone-14-pro-256gb-space-black-CID99-IDWLDqU.html
DOSTEPNE iPhone 14 PRO 256GB 5250zł Gold Złote Tarasy,iPhone 14 Pro,256.0,Nowe,5250,Firmowe,Złoty,2023-08-09 10:29,2023-08-09 07:40,https://www.olx.pl/d/oferta/dostepne-iphone-14-pro-256gb-5250zl-gold-zlote-tarasy-CID99-IDSmfpB.html
iphone 14 pro czarny 100%,iPhone 14 Pro,128.0,Używane,4100,Prywatne,Czarny,2023-08-09 10:29,2023-08-09 07:36,https://www.olx.pl/d/oferta/iphone-14-pro-czarny-100-CID99-IDWO0JC.html
Dostępny iPhone 14 Pro 256GB Purple 5250zł Złote Tarasy,iPhone 14 Pro,256.0,Nowe,5250,Firmowe,Fioletowy,2023-08-09 10:29,2023-08-09 07:34,https://www.olx.pl/d/oferta/dostepny-iphone-14-pro-256gb-purple-5250zl-zlote-tarasy-CID99-IDSmeto.html
